Competicion,Jornada,Fecha,Equipo local,Equipo visitante,Puntos local,Puntos visitante
Playoffs Nba,Jornada 13,2023/04/24,Philadelphia 76Ers,Brooklyn Nets,,
Playoffs Nba,Jornada 12,2023/04/24,Atlanta Hawks,Boston Celtics,121,129
Playoffs Nba,Jornada 12,2023/04/24,Minnesota Timberwolves,Denver Nuggets,114,108
Acb,Jornada 29,2023/04/23,Baxi Manresa,Ucam Murcia,93,83
Acb,Jornada 29,2023/04/23,Lenovo Tenerife,Rio Breogan,85,67
Acb,Jornada 29,2023/04/23,Casademont Zaragoza,Unicaja,70,74
Acb,Jornada 29,2023/04/23,Monbus Obradoiro,Real Betis,67,82
Acb,Jornada 29,2023/04/23,Joventut Badalona,Real Madrid,76,86
Acb,Jornada 29,2023/04/23,Carplus Fuenlabrada,Cazoo Baskonia,93,112
Playoffs Nba,Jornada 11,2023/04/23,Miami Heat,Milwaukee Bucks,121,99
Playoffs Nba,Jornada 11,2023/04/23,Los Angeles Lakers,Memphis Grizzlies,111,101
Playoffs Nba,Jornada 12,2023/04/23,New York Knicks,Cleveland Cavaliers,102,93
Playoffs Nba,Jornada 12,2023/04/23,Golden State Warriors,Sacramento Kings,126,125
Acb,Jornada 29,2023/04/22,Basquet Girona,Granada,88,73
Acb,Jornada 29,2023/04/22,Valencia Basket,Surne Bilbao,95,88
Acb,Jornada 29,2023/04/22,Barca,Gran Canaria,87,79
Playoffs Nba,Jornada 10,2023/04/22,Atlanta Hawks,Boston Celtics,130,122
Playoffs Nba,Jornada 10,2023/04/22,New York Knicks,Cleveland Cavaliers,99,79
Playoffs Nba,Jornada 10,2023/04/22,Minnesota Timberwolves,Denver Nuggets,111,120
Playoffs Nba,Jornada 11,2023/04/22,Brooklyn Nets,Philadelphia 76Ers,88,96
Playoffs Nba,Jornada 11,2023/04/22,Los Angeles Clippers,Phoenix Suns,100,112
Playoffs Nba,Jornada 9,2023/04/21,Brooklyn Nets,Philadelphia 76Ers,97,102
Playoffs Nba,Jornada 9,2023/04/21,Golden State Warriors,Sacramento Kings,114,97
Playoffs Nba,Jornada 9,2023/04/21,Los Angeles Clippers,Phoenix Suns,124,129
Acb,Jornada 28,2023/04/20,Real Betis,Carplus Fuenlabrada,87,77
Acb,Jornada 28,2023/04/20,Rio Breogan,Unicaja,74,90
Playoffs Nba,Jornada 8,2023/04/20,Memphis Grizzlies,Los Angeles Lakers,103,93
Playoffs Nba,Jornada 8,2023/04/20,Milwaukee Bucks,Miami Heat,138,122
Playoffs Nba,Jornada 8,2023/04/20,Denver Nuggets,Minnesota Timberwolves,122,113
Acb,Jornada 28,2023/04/19,Cazoo Baskonia,Monbus Obradoiro,110,94
Acb,Jornada 28,2023/04/19,Real Madrid,Basquet Girona,89,70
Acb,Jornada 28,2023/04/19,Ucam Murcia,Valencia Basket,90,82
Acb,Jornada 28,2023/04/19,Granada,Barca,55,70
Playoffs Nba,Jornada 7,2023/04/19,Boston Celtics,Atlanta Hawks,119,106
Playoffs Nba,Jornada 7,2023/04/19,Cleveland Cavaliers,New York Knicks,107,90
Playoffs Nba,Jornada 7,2023/04/19,Phoenix Suns,Los Angeles Clippers,123,109
Champions League,Cuartos,2023/04/19,Hapoel Jerusalem B.C,Aek Atenas,91,51
Champions League,Cuartos,2023/04/19,Lenovo Tenerife,Baxi Manresa,84,72
Playoffs Nba,Jornada 6,2023/04/18,Philadelphia 76Ers,Brooklyn Nets,96,84
Playoffs Nba,Jornada 6,2023/04/18,Sacramento Kings,Golden State Warriors,114,106
Champions League,Cuartos,2023/04/18,Telekom Baskets Bonn,Sig Strasbourg,83,77
Playoffs Nba,Jornada 5,2023/04/17,Phoenix Suns,Los Angeles Clippers,110,115
Playoffs Nba,Jornada 5,2023/04/17,Denver Nuggets,Minnesota Timberwolves,109,80
Acb,Jornada 27,2023/04/16,Ucam Murcia,Casademont Zaragoza,79,74
Acb,Jornada 27,2023/04/16,Lenovo Tenerife,Cazoo Baskonia,83,81
Acb,Jornada 27,2023/04/16,Baxi Manresa,Granada,86,77
Acb,Jornada 27,2023/04/16,Barca,Real Madrid,97,82
Acb,Jornada 27,2023/04/16,Valencia Basket,Real Betis,87,81
Playoffs Nba,Jornada 4,2023/04/16,Cleveland Cavaliers,New York Knicks,97,101
Playoffs Nba,Jornada 4,2023/04/16,Sacramento Kings,Golden State Warriors,126,123
Playoffs Nba,Jornada 5,2023/04/16,Memphis Grizzlies,Los Angeles Lakers,112,128
Playoffs Nba,Jornada 5,2023/04/16,Milwaukee Bucks,Miami Heat,117,130
Acb,Jornada 27,2023/04/15,Unicaja,Monbus Obradoiro,99,89
Acb,Jornada 27,2023/04/15,Carplus Fuenlabrada,Surne Bilbao,77,71
Acb,Jornada 27,2023/04/15,Joventut Badalona,Basquet Girona,92,64
Acb,Jornada 27,2023/04/15,Gran Canaria,Rio Breogan,77,66
Playoffs Nba,Jornada 3,2023/04/15,Miami Heat,Chicago Bulls,102,91
Playoffs Nba,Jornada 3,2023/04/15,Minnesota Timberwolves,Oklahoma City Thunder,120,95
Playoffs Nba,Jornada 4,2023/04/15,Philadelphia 76Ers,Brooklyn Nets,121,101
Playoffs Nba,Jornada 4,2023/04/15,Boston Celtics,Atlanta Hawks,112,99
Euroliga,Jornada 34,2023/04/14,Anadolu Efes,As Monaco,87,72
Euroliga,Jornada 34,2023/04/14,Barca,Valencia Basket,85,71
Euroliga,Jornada 34,2023/04/14,Partizan,Panathinaikos,83,81
Euroliga,Jornada 34,2023/04/14,B. Munich,Zalgiris,80,83
Playoffs Nba,Jornada 2,2023/04/13,Toronto Raptors,Chicago Bulls,105,109
Playoffs Nba,Jornada 2,2023/04/13,New Orleans Pelicans,Oklahoma City Thunder,118,123
Euroliga,Jornada 34,2023/04/13,Estrella Roja,Fenerbahce,91,89
Euroliga,Jornada 34,2023/04/13,Alba Berlin,Asvel Villeurbanne,88,71
Euroliga,Jornada 34,2023/04/13,Olympiacos,Cazoo Baskonia,86,78
Euroliga,Jornada 34,2023/04/13,Maccabi,Real Madrid,100,96
Euroliga,Jornada 34,2023/04/13,Virtus Bologna,Milan,89,84
Playoffs Nba,Jornada 1,2023/04/12,Miami Heat,Atlanta Hawks,105,116
Playoffs Nba,Jornada 1,2023/04/12,Los Angeles Lakers,Minnesota Timberwolves,108,102
Champions League,Cuartos,2023/04/12,Aek Atenas,Hapoel Jerusalem B.C,94,78
Champions League,Cuartos,2023/04/12,Ucam Murcia,Unicaja,74,96
Champions League,Cuartos,2023/04/12,Baxi Manresa,Lenovo Tenerife,85,83
Champions League,Cuartos,2023/04/11,Sig Strasbourg,Telekom Baskets Bonn,66,76
Acb,Jornada 26,2023/04/09,Basquet Girona,Carplus Fuenlabrada,85,60
Acb,Jornada 26,2023/04/09,Real Betis,Lenovo Tenerife,80,76
Acb,Jornada 26,2023/04/09,Surne Bilbao,Barca,82,80
Acb,Jornada 26,2023/04/09,Joventut Badalona,Valencia Basket,85,70
Acb,Jornada 26,2023/04/09,Cazoo Baskonia,Baxi Manresa,107,92
Nba,Jornada 164,2023/04/09,Chicago Bulls,Detroit Pistons,103,81
Nba,Jornada 164,2023/04/09,Toronto Raptors,Milwaukee Bucks,121,105
Nba,Jornada 164,2023/04/09,Brooklyn Nets,Philadelphia 76Ers,105,134
Nba,Jornada 164,2023/04/09,Boston Celtics,Atlanta Hawks,120,114
Nba,Jornada 164,2023/04/09,Cleveland Cavaliers,Charlotte Hornets,95,106
Nba,Jornada 164,2023/04/09,Miami Heat,Orlando Magic,123,110
Nba,Jornada 164,2023/04/09,New York Knicks,Indiana Pacers,136,141
Nba,Jornada 164,2023/04/09,Washington Wizards,Houston Rockets,109,114
Nba,Jornada 164,2023/04/09,Phoenix Suns,Los Angeles Clippers,114,119
Nba,Jornada 164,2023/04/09,Minnesota Timberwolves,New Orleans Pelicans,113,108
Nba,Jornada 164,2023/04/09,Portland Trail Blazers,Golden State Warriors,101,157
Nba,Jornada 164,2023/04/09,Dallas Mavericks,San Antonio Spurs,117,138
Nba,Jornada 164,2023/04/09,Oklahoma City Thunder,Memphis Grizzlies,115,100
Nba,Jornada 164,2023/04/09,Denver Nuggets,Sacramento Kings,109,95
Nba,Jornada 164,2023/04/09,Los Angeles Lakers,Utah Jazz,128,117
Acb,Jornada 26,2023/04/08,Granada,Unicaja,69,101
Acb,Jornada 26,2023/04/08,Monbus Obradoiro,Ucam Murcia,81,79
Acb,Jornada 26,2023/04/08,Rio Breogan,Real Madrid,96,72
Acb,Jornada 26,2023/04/08,Casademont Zaragoza,Gran Canaria,76,73
Nba,Jornada 162,2023/04/08,Charlotte Hornets,Houston Rockets,109,112
Nba,Jornada 162,2023/04/08,Indiana Pacers,Detroit Pistons,115,122
Nba,Jornada 162,2023/04/08,Washington Wizards,Miami Heat,114,108
Nba,Jornada 162,2023/04/08,Brooklyn Nets,Orlando Magic,101,84
Nba,Jornada 162,2023/04/08,Atlanta Hawks,Philadelphia 76Ers,131,136
Nba,Jornada 162,2023/04/08,Boston Celtics,Toronto Raptors,121,102
Nba,Jornada 162,2023/04/08,Milwaukee Bucks,Memphis Grizzlies,114,137
Nba,Jornada 162,2023/04/08,New Orleans Pelicans,New York Knicks,113,105
Nba,Jornada 162,2023/04/08,Dallas Mavericks,Chicago Bulls,112,115
Nba,Jornada 162,2023/04/08,Sacramento Kings,Golden State Warriors,97,119
Nba,Jornada 162,2023/04/08,Los Angeles Lakers,Phoenix Suns,121,107
Nba,Jornada 163,2023/04/08,Utah Jazz,Denver Nuggets,118,114
Nba,Jornada 163,2023/04/08,San Antonio Spurs,Minnesota Timberwolves,131,151
Nba,Jornada 163,2023/04/08,Los Angeles Clippers,Portland Trail Blazers,136,125
Nba,Jornada 161,2023/04/07,Orlando Magic,Cleveland Cavaliers,94,118
Nba,Jornada 161,2023/04/07,Philadelphia 76Ers,Miami Heat,101,129
Nba,Jornada 161,2023/04/07,San Antonio Spurs,Portland Trail Blazers,129,127
Nba,Jornada 161,2023/04/07,Utah Jazz,Oklahoma City Thunder,98,114
Nba,Jornada 161,2023/04/07,Phoenix Suns,Denver Nuggets,119,115
Euroliga,Jornada 33,2023/04/07,Panathinaikos,Alba Berlin,84,88
Euroliga,Jornada 33,2023/04/07,Milan,Barca,84,76
Euroliga,Jornada 33,2023/04/07,As Monaco,Partizan,84,88
Nba,Jornada 160,2023/04/06,Detroit Pistons,Brooklyn Nets,108,123
Nba,Jornada 160,2023/04/06,Indiana Pacers,New York Knicks,129,138
Nba,Jornada 160,2023/04/06,Boston Celtics,Toronto Raptors,97,93
Nba,Jornada 160,2023/04/06,Atlanta Hawks,Washington Wizards,134,116
Nba,Jornada 160,2023/04/06,Milwaukee Bucks,Chicago Bulls,105,92
Nba,Jornada 160,2023/04/06,New Orleans Pelicans,Memphis Grizzlies,138,131
Nba,Jornada 160,2023/04/06,Dallas Mavericks,Sacramento Kings,123,119
Nba,Jornada 160,2023/04/06,Los Angeles Clippers,Los Angeles Lakers,125,118
Euroliga,Jornada 33,2023/04/06,Estrella Roja,Olympiacos,87,79
Euroliga,Jornada 33,2023/04/06,Zalgiris,Maccabi,68,67
Euroliga,Jornada 33,2023/04/06,Fenerbahce,Anadolu Efes,103,86
Euroliga,Jornada 33,2023/04/06,Valencia Basket,Virtus Bologna,79,68
Euroliga,Jornada 33,2023/04/06,Real Madrid,B. Munich,79,67
Euroliga,Jornada 33,2023/04/06,Cazoo Baskonia,Asvel Villeurbanne,120,100
Nba,Jornada 159,2023/04/05,Orlando Magic,Cleveland Cavaliers,113,117
Nba,Jornada 159,2023/04/05,Charlotte Hornets,Toronto Raptors,100,120
Nba,Jornada 159,2023/04/05,Detroit Pistons,Miami Heat,105,118
Nba,Jornada 159,2023/04/05,Washington Wizards,Milwaukee Bucks,128,140
Nba,Jornada 159,2023/04/05,Brooklyn Nets,Minnesota Timberwolves,102,107
Nba,Jornada 159,2023/04/05,Philadelphia 76Ers,Boston Celtics,103,101
Nba,Jornada 159,2023/04/05,Houston Rockets,Denver Nuggets,124,103
Nba,Jornada 159,2023/04/05,New Orleans Pelicans,Sacramento Kings,103,121
Nba,Jornada 159,2023/04/05,Chicago Bulls,Atlanta Hawks,105,123
Nba,Jornada 159,2023/04/05,Memphis Grizzlies,Portland Trail Blazers,119,109
Nba,Jornada 159,2023/04/05,Utah Jazz,Los Angeles Lakers,133,135
Nba,Jornada 159,2023/04/05,Phoenix Suns,San Antonio Spurs,115,94
Nba,Jornada 159,2023/04/05,Golden State Warriors,Oklahoma City Thunder,136,125
Champions League,Cuartos,2023/04/05,Telekom Baskets Bonn,Sig Strasbourg,76,77
Champions League,Cuartos,2023/04/05,Lenovo Tenerife,Baxi Manresa,91,84
Acb,Jornada 28,2023/04/04,Gran Canaria,Joventut Badalona,100,88
Champions League,Cuartos,2023/04/04,Hapoel Jerusalem B.C,Aek Atenas,64,55
Champions League,Cuartos,2023/04/04,Unicaja,Ucam Murcia,83,67
Nba,Jornada 158,2023/04/03,Sacramento Kings,San Antonio Spurs,134,142
Nba,Jornada 158,2023/04/03,Atlanta Hawks,Dallas Mavericks,132,130
Nba,Jornada 158,2023/04/03,New York Knicks,Washington Wizards,118,109
Nba,Jornada 158,2023/04/03,Orlando Magic,Detroit Pistons,128,102
Nba,Jornada 158,2023/04/03,Oklahoma City Thunder,Phoenix Suns,118,128
Nba,Jornada 158,2023/04/03,Houston Rockets,Los Angeles Lakers,109,134
Nba,Jornada 158,2023/04/03,Milwaukee Bucks,Philadelphia 76Ers,117,104
Nba,Jornada 158,2023/04/03,Cleveland Cavaliers,Indiana Pacers,115,105
Nba,Jornada 158,2023/04/03,Denver Nuggets,Golden State Warriors,112,110
Acb,Jornada 25,2023/04/02,Real Madrid,Granada,108,75
Acb,Jornada 25,2023/04/02,Ucam Murcia,Basquet Girona,102,79
Acb,Jornada 25,2023/04/02,Lenovo Tenerife,Barca,76,79
Acb,Jornada 25,2023/04/02,Baxi Manresa,Monbus Obradoiro,80,65
Acb,Jornada 25,2023/04/02,Valencia Basket,Cazoo Baskonia,81,85
Nba,Jornada 157,2023/04/02,Miami Heat,Dallas Mavericks,129,122
Nba,Jornada 157,2023/04/02,New Orleans Pelicans,Los Angeles Clippers,122,114
Nba,Jornada 158,2023/04/02,Charlotte Hornets,Toronto Raptors,108,128
Nba,Jornada 158,2023/04/02,Brooklyn Nets,Utah Jazz,111,110
Nba,Jornada 158,2023/04/02,Chicago Bulls,Memphis Grizzlies,128,107
Nba,Jornada 158,2023/04/02,Minnesota Timberwolves,Portland Trail Blazers,105,107
Acb,Jornada 25,2023/04/01,Unicaja,Carplus Fuenlabrada,100,75
Acb,Jornada 25,2023/04/01,Rio Breogan,Joventut Badalona,65,85
Acb,Jornada 25,2023/04/01,Surne Bilbao,Casademont Zaragoza,81,68
Acb,Jornada 25,2023/04/01,Gran Canaria,Real Betis,87,71
Nba,Jornada 156,2023/04/01,Washington Wizards,Orlando Magic,109,116
Nba,Jornada 156,2023/04/01,Indiana Pacers,Oklahoma City Thunder,121,117
Nba,Jornada 156,2023/04/01,Philadelphia 76Ers,Toronto Raptors,117,110
Nba,Jornada 156,2023/04/01,Charlotte Hornets,Chicago Bulls,91,121
Nba,Jornada 156,2023/04/01,Brooklyn Nets,Atlanta Hawks,124,107
Nba,Jornada 156,2023/04/01,Boston Celtics,Utah Jazz,122,114
Nba,Jornada 156,2023/04/01,Cleveland Cavaliers,New York Knicks,116,130
Nba,Jornada 156,2023/04/01,Houston Rockets,Detroit Pistons,121,115
Nba,Jornada 156,2023/04/01,Memphis Grizzlies,Los Angeles Clippers,108,94
Nba,Jornada 156,2023/04/01,Minnesota Timberwolves,Los Angeles Lakers,111,123
Nba,Jornada 156,2023/04/01,Portland Trail Blazers,Sacramento Kings,114,138
Nba,Jornada 156,2023/04/01,Golden State Warriors,San Antonio Spurs,130,115
Nba,Jornada 156,2023/04/01,Phoenix Suns,Denver Nuggets,100,93
Nba,Jornada 155,2023/03/31,Milwaukee Bucks,Boston Celtics,99,140
Nba,Jornada 155,2023/03/31,Denver Nuggets,New Orleans Pelicans,88,107
Euroliga,Jornada 32,2023/03/31,Zalgiris,Valencia Basket,95,74
Euroliga,Jornada 32,2023/03/31,B. Munich,As Monaco,81,84
Euroliga,Jornada 32,2023/03/31,Olympiacos,Panathinaikos,81,73
Euroliga,Jornada 32,2023/03/31,Cazoo Baskonia,Fenerbahce,92,69
Euroliga,Jornada 32,2023/03/31,Partizan,Real Madrid,104,90
Euroliga,Jornada 32,2023/03/31,Asvel Villeurbanne,Estrella Roja,60,76
Nba,Jornada 154,2023/03/30,Indiana Pacers,Milwaukee Bucks,136,149
Nba,Jornada 154,2023/03/30,Brooklyn Nets,Houston Rockets,123,114
Nba,Jornada 154,2023/03/30,Philadelphia 76Ers,Dallas Mavericks,116,108
Nba,Jornada 154,2023/03/30,New York Knicks,Miami Heat,101,92
Nba,Jornada 154,2023/03/30,Chicago Bulls,Los Angeles Lakers,110,121
Nba,Jornada 154,2023/03/30,Memphis Grizzlies,Los Angeles Clippers,132,141
Nba,Jornada 154,2023/03/30,Oklahoma City Thunder,Detroit Pistons,107,106
Nba,Jornada 154,2023/03/30,San Antonio Spurs,Utah Jazz,117,128
Nba,Jornada 154,2023/03/30,Phoenix Suns,Minnesota Timberwolves,107,100
Nba,Jornada 154,2023/03/30,Portland Trail Blazers,Sacramento Kings,80,120
Euroliga,Jornada 32,2023/03/30,Anadolu Efes,Virtus Bologna,86,67
Euroliga,Jornada 32,2023/03/30,Maccabi,Milan,85,66
Euroliga,Jornada 32,2023/03/30,Barca,Alba Berlin,72,56
Acb,Jornada 20,2023/03/29,Lenovo Tenerife,Baxi Manresa,100,87
Nba,Jornada 153,2023/03/29,Washington Wizards,Boston Celtics,130,111
Nba,Jornada 153,2023/03/29,Toronto Raptors,Miami Heat,106,92
Nba,Jornada 153,2023/03/29,Atlanta Hawks,Cleveland Cavaliers,120,118
Nba,Jornada 153,2023/03/29,Oklahoma City Thunder,Charlotte Hornets,134,137
Nba,Jornada 153,2023/03/29,Memphis Grizzlies,Orlando Magic,113,108
Nba,Jornada 153,2023/03/29,Golden State Warriors,New Orleans Pelicans,120,109
Euroliga,Jornada 31,2023/03/29,Zalgiris,As Monaco,79,70
Euroliga,Jornada 31,2023/03/29,Estrella Roja,Valencia Basket,92,73
Euroliga,Jornada 31,2023/03/29,Olympiacos,Asvel Villeurbanne,81,55
Euroliga,Jornada 31,2023/03/29,Real Madrid,Fenerbahce,90,75
Nba,Jornada 152,2023/03/28,Indiana Pacers,Dallas Mavericks,104,127
Nba,Jornada 152,2023/03/28,Detroit Pistons,Milwaukee Bucks,117,126
Nba,Jornada 152,2023/03/28,New York Knicks,Houston Rockets,137,115
Nba,Jornada 152,2023/03/28,Utah Jazz,Phoenix Suns,103,117
Nba,Jornada 152,2023/03/28,Denver Nuggets,Philadelphia 76Ers,116,111
Nba,Jornada 152,2023/03/28,Sacramento Kings,Minnesota Timberwolves,115,119
Nba,Jornada 152,2023/03/28,Portland Trail Blazers,New Orleans Pelicans,90,124
Nba,Jornada 152,2023/03/28,Los Angeles Clippers,Chicago Bulls,124,112
Euroliga,Jornada 31,2023/03/28,Maccabi,Virtus Bologna,111,80
Euroliga,Jornada 31,2023/03/28,Anadolu Efes,Milan,89,69
Euroliga,Jornada 31,2023/03/28,Panathinaikos,B. Munich,86,76
Euroliga,Jornada 31,2023/03/28,Partizan,Barca,80,89
Euroliga,Jornada 31,2023/03/28,Cazoo Baskonia,Alba Berlin,93,87
Nba,Jornada 151,2023/03/27,Atlanta Hawks,Memphis Grizzlies,119,123
Nba,Jornada 151,2023/03/27,Boston Celtics,San Antonio Spurs,137,93
Nba,Jornada 151,2023/03/27,Cleveland Cavaliers,Houston Rockets,108,91
Nba,Jornada 151,2023/03/27,Orlando Magic,Brooklyn Nets,119,106
Nba,Jornada 151,2023/03/27,Toronto Raptors,Washington Wizards,114,104
Nba,Jornada 151,2023/03/27,Portland Trail Blazers,Oklahoma City Thunder,112,118
Nba,Jornada 151,2023/03/27,Golden State Warriors,Minnesota Timberwolves,96,99
Acb,Jornada 24,2023/03/25,Monbus Obradoiro,Rio Breogan,67,74
Acb,Jornada 24,2023/03/25,Basquet Girona,Baxi Manresa,79,86
Acb,Jornada 24,2023/03/25,Granada,Ucam Murcia,88,67
Acb,Jornada 24,2023/03/25,Barca,Joventut Badalona,87,71
Nba,Jornada 149,2023/03/25,Washington Wizards,San Antonio Spurs,136,124
Nba,Jornada 149,2023/03/25,Boston Celtics,Indiana Pacers,120,95
Nba,Jornada 149,2023/03/25,Toronto Raptors,Detroit Pistons,118,97
Nba,Jornada 149,2023/03/25,Memphis Grizzlies,Houston Rockets,151,114
Nba,Jornada 149,2023/03/25,Dallas Mavericks,Charlotte Hornets,109,117
Nba,Jornada 149,2023/03/25,Utah Jazz,Milwaukee Bucks,116,144
Nba,Jornada 149,2023/03/25,Portland Trail Blazers,Chicago Bulls,96,124
Nba,Jornada 149,2023/03/25,Golden State Warriors,Philadelphia 76Ers,120,112
Nba,Jornada 149,2023/03/25,Sacramento Kings,Phoenix Suns,135,127
Nba,Jornada 149,2023/03/25,Los Angeles Lakers,Oklahoma City Thunder,116,111
Nba,Jornada 150,2023/03/25,Atlanta Hawks,Indiana Pacers,143,130
Nba,Jornada 148,2023/03/24,Orlando Magic,New York Knicks,111,106
Nba,Jornada 148,2023/03/24,Brooklyn Nets,Cleveland Cavaliers,114,116
Nba,Jornada 148,2023/03/24,New Orleans Pelicans,Charlotte Hornets,115,96
Nba,Jornada 148,2023/03/24,Los Angeles Clippers,Oklahoma City Thunder,127,105
Euroliga,Jornada 30,2023/03/24,Fenerbahce,Zalgiris,87,79
Euroliga,Jornada 30,2023/03/24,As Monaco,Valencia Basket,90,79
Euroliga,Jornada 30,2023/03/24,Virtus Bologna,Real Madrid,79,96
Euroliga,Jornada 30,2023/03/24,Partizan,Olympiacos,90,75
Euroliga,Jornada 30,2023/03/24,Milan,B. Munich,99,74
Nba,Jornada 147,2023/03/23,Washington Wizards,Denver Nuggets,104,118
Nba,Jornada 147,2023/03/23,Miami Heat,New York Knicks,127,120
Nba,Jornada 147,2023/03/23,Toronto Raptors,Indiana Pacers,114,118
Nba,Jornada 147,2023/03/23,Dallas Mavericks,Golden State Warriors,125,127
Nba,Jornada 147,2023/03/23,Chicago Bulls,Philadelphia 76Ers,91,116
Nba,Jornada 147,2023/03/23,Minnesota Timberwolves,Atlanta Hawks,125,124
Nba,Jornada 147,2023/03/23,Memphis Grizzlies,Houston Rockets,130,125
Nba,Jornada 147,2023/03/23,Milwaukee Bucks,San Antonio Spurs,130,94
Nba,Jornada 147,2023/03/23,Utah Jazz,Portland Trail Blazers,115,127
Nba,Jornada 147,2023/03/23,Los Angeles Lakers,Phoenix Suns,122,111
Euroliga,Jornada 30,2023/03/23,Estrella Roja,Cazoo Baskonia,74,63
Euroliga,Jornada 30,2023/03/23,Panathinaikos,Barca,74,88
Euroliga,Jornada 30,2023/03/23,Alba Berlin,Anadolu Efes,95,93
Euroliga,Jornada 30,2023/03/23,Asvel Villeurbanne,Maccabi,67,85
Nba,Jornada 146,2023/03/22,Orlando Magic,Washington Wizards,122,112
Nba,Jornada 146,2023/03/22,Atlanta Hawks,Detroit Pistons,129,107
Nba,Jornada 146,2023/03/22,Brooklyn Nets,Cleveland Cavaliers,109,115
Nba,Jornada 146,2023/03/22,New Orleans Pelicans,San Antonio Spurs,119,84
Nba,Jornada 146,2023/03/22,Sacramento Kings,Boston Celtics,109,132
Nba,Jornada 146,2023/03/22,Los Angeles Clippers,Oklahoma City Thunder,100,101
Champions League,Octavos,2023/03/22,Lietuvos,Baxi Manresa,96,95
Champions League,Octavos,2023/03/22,Bahcesehir Koleji,Telekom Baskets Bonn,76,87
Champions League,Octavos,2023/03/22,Sig Strasbourg,Hapoel Jerusalem B.C,63,71
Champions League,Octavos,2023/03/22,Hapoel Unet Holon,Jda Dijon,88,81
Nba,Jornada 145,2023/03/21,Charlotte Hornets,Indiana Pacers,115,109
Nba,Jornada 145,2023/03/21,Philadelphia 76Ers,Chicago Bulls,105,109
Nba,Jornada 145,2023/03/21,New York Knicks,Minnesota Timberwolves,134,140
Nba,Jornada 145,2023/03/21,Houston Rockets,Golden State Warriors,108,121
Nba,Jornada 145,2023/03/21,Memphis Grizzlies,Dallas Mavericks,112,108
Nba,Jornada 145,2023/03/21,Utah Jazz,Sacramento Kings,128,120
Euroliga,Jornada 24,2023/03/21,Fenerbahce,Milan,75,82
Champions League,Octavos,2023/03/21,Aek Atenas,Unicaja,65,75
Champions League,Octavos,2023/03/21,Surne Bilbao,Ucam Murcia,67,71
Champions League,Octavos,2023/03/21,Lenovo Tenerife,Darussafaka,75,71
Champions League,Octavos,2023/03/21,Limoges,Galatasaray,69,60
Nba,Jornada 144,2023/03/20,Houston Rockets,New Orleans Pelicans,107,117
Nba,Jornada 144,2023/03/20,Milwaukee Bucks,Toronto Raptors,118,111
Nba,Jornada 144,2023/03/20,Portland Trail Blazers,Los Angeles Clippers,102,117
Nba,Jornada 144,2023/03/20,Los Angeles Lakers,Orlando Magic,111,105
Acb,Jornada 23,2023/03/19,Rio Breogan,Casademont Zaragoza,71,87
Acb,Jornada 23,2023/03/19,Surne Bilbao,Basquet Girona,84,77
Acb,Jornada 23,2023/03/19,Unicaja,Barca,81,86
Acb,Jornada 23,2023/03/19,Valencia Basket,Granada,80,72
Acb,Jornada 23,2023/03/19,Real Madrid,Cazoo Baskonia,88,95
Nba,Jornada 143,2023/03/19,Toronto Raptors,Minnesota Timberwolves,122,107
Nba,Jornada 143,2023/03/19,Indiana Pacers,Philadelphia 76Ers,121,141
Nba,Jornada 143,2023/03/19,Memphis Grizzlies,Golden State Warriors,133,119
Nba,Jornada 143,2023/03/19,Washington Wizards,Sacramento Kings,118,132
Nba,Jornada 143,2023/03/19,Chicago Bulls,Miami Heat,113,99
Nba,Jornada 143,2023/03/19,Utah Jazz,Boston Celtics,118,117
Nba,Jornada 144,2023/03/19,Oklahoma City Thunder,Phoenix Suns,124,120
Nba,Jornada 144,2023/03/19,Brooklyn Nets,Denver Nuggets,102,108
Nba,Jornada 144,2023/03/19,San Antonio Spurs,Atlanta Hawks,126,118
Nba,Jornada 144,2023/03/19,Detroit Pistons,Miami Heat,100,112
Acb,Jornada 23,2023/03/18,Monbus Obradoiro,Lenovo Tenerife,58,78
Acb,Jornada 23,2023/03/18,Baxi Manresa,Real Betis,91,84
Acb,Jornada 23,2023/03/18,Joventut Badalona,Carplus Fuenlabrada,103,86
Acb,Jornada 23,2023/03/18,Gran Canaria,Ucam Murcia,107,89
Nba,Jornada 142,2023/03/18,Charlotte Hornets,Philadelphia 76Ers,82,121
Nba,Jornada 142,2023/03/18,Cleveland Cavaliers,Washington Wizards,117,94
Nba,Jornada 142,2023/03/18,Atlanta Hawks,Golden State Warriors,127,119
Nba,Jornada 142,2023/03/18,Chicago Bulls,Minnesota Timberwolves,139,131
Nba,Jornada 142,2023/03/18,Houston Rockets,New Orleans Pelicans,114,112
Nba,Jornada 142,2023/03/18,San Antonio Spurs,Memphis Grizzlies,120,126
Nba,Jornada 142,2023/03/18,Portland Trail Blazers,Boston Celtics,112,126
Nba,Jornada 142,2023/03/18,Los Angeles Lakers,Dallas Mavericks,110,111
Nba,Jornada 143,2023/03/18,New York Knicks,Denver Nuggets,116,110
Nba,Jornada 143,2023/03/18,Los Angeles Clippers,Orlando Magic,108,113
Nba,Jornada 141,2023/03/17,Detroit Pistons,Denver Nuggets,100,119
Nba,Jornada 141,2023/03/17,Toronto Raptors,Oklahoma City Thunder,128,111
Nba,Jornada 141,2023/03/17,Brooklyn Nets,Sacramento Kings,96,101
